Hilo productor 1 introduce el valor 8 en la posici贸n 1, Array = 8, Suma = 0
Hilo consumidor saca el valor 5 de la posici贸n 6, Array = 0 - 4 - 6 - 2 - 3, Suma = 74
Hilo consumidor saca el valor 3 de la posici贸n 5, Array = 0 - 4 - 6 - 2, Suma = 77
Hilo consumidor saca el valor 2 de la posici贸n 4, Array = 0 - 4 - 6, Suma = 79
Hilo consumidor saca el valor 6 de la posici贸n 3, Array = 0 - 4, Suma = 85
Hilo consumidor saca el valor 4 de la posici贸n 2, Array = 0, Suma = 89
Hilo consumidor saca el valor 0 de la posici贸n 1, Array = , Suma = 89
Hilo productor 2 introduce el valor 5 en la posici贸n 1, Array = 5, Suma = 89
Hilo productor 2 introduce el valor 2 en la posici贸n 2, Array = 5 - 2, Suma = 89
Hilo productor 2 introduce el valor 10 en la posici贸n 3, Array = 5 - 2 - 10, Suma = 89
Hilo productor 2 introduce el valor 0 en la posici贸n 4, Array = 5 - 2 - 10 - 0, Suma = 89
Hilo productor 2 introduce el valor 7 en la posici贸n 5, Array = 5 - 2 - 10 - 0 - 7, Suma = 89
Hilo productor 2 introduce el valor 4 en la posici贸n 6, Array = 5 - 2 - 10 - 0 - 7 - 4, Suma = 89
Hilo productor 2 introduce el valor 0 en la posici贸n 7, Array = 5 - 2 - 10 - 0 - 7 - 4 - 0, Suma = 89
Hilo productor 2 introduce el valor 10 en la posici贸n 8, Array = 5 - 2 - 10 - 0 - 7 - 4 - 0 - 10, Suma = 89
Hilo productor 2 introduce el valor 7 en la posici贸n 9, Array = 5 - 2 - 10 - 0 - 7 - 4 - 0 - 10 - 7, Suma = 89
Hilo productor 2 introduce el valor 1 en la posici贸n 10, Array = 5 - 2 - 10 - 0 - 7 - 4 - 0 - 10 - 7 - 1, Suma = 89
Hilo consumidor saca el valor 1 de la posici贸n 10, Array = 5 - 2 - 10 - 0 - 7 - 4 - 0 - 10 - 7, Suma = 90
Hilo consumidor saca el valor 7 de la posici贸n 9, Array = 5 - 2 - 10 - 0 - 7 - 4 - 0 - 10, Suma = 97
Hilo consumidor saca el valor 10 de la posici贸n 8, Array = 5 - 2 - 10 - 0 - 7 - 4 - 0, Suma = 107
Suma m谩xima alcanzada: 107, Array = 5 - 2 - 10 - 0 - 7 - 4 - 0, Suma = 107
Hilo productor 1 introduce el valor 10 en la posici髇 1, Array = 10, Suma = 0
Hilo consumidor saca el valor 10 de la posici髇 1, Array = , Suma = 10
Hilo productor 2 introduce el valor 5 en la posici髇 1, Array = 5, Suma = 10
Hilo productor 1 introduce el valor 7 en la posici髇 2, Array = 5 - 7, Suma = 10
Hilo productor 2 introduce el valor 2 en la posici髇 3, Array = 5 - 7 - 2, Suma = 10
Hilo consumidor saca el valor 2 de la posici髇 3, Array = 5 - 7, Suma = 12
Hilo productor 1 introduce el valor 7 en la posici髇 3, Array = 5 - 7 - 7, Suma = 12
Hilo productor 2 introduce el valor 8 en la posici髇 4, Array = 5 - 7 - 7 - 8, Suma = 12
Hilo productor 2 introduce el valor 6 en la posici髇 5, Array = 5 - 7 - 7 - 8 - 6, Suma = 12
Hilo consumidor saca el valor 6 de la posici髇 5, Array = 5 - 7 - 7 - 8, Suma = 18
Hilo productor 1 introduce el valor 10 en la posici髇 5, Array = 5 - 7 - 7 - 8 - 10, Suma = 18
Hilo productor 1 introduce el valor 8 en la posici髇 6, Array = 5 - 7 - 7 - 8 - 10 - 8, Suma = 18
Hilo productor 2 introduce el valor 7 en la posici髇 7, Array = 5 - 7 - 7 - 8 - 10 - 8 - 7, Suma = 18
Hilo consumidor saca el valor 7 de la posici髇 7, Array = 5 - 7 - 7 - 8 - 10 - 8, Suma = 25
Hilo productor 1 introduce el valor 5 en la posici髇 7, Array = 5 - 7 - 7 - 8 - 10 - 8 - 5, Suma = 25
Hilo productor 2 introduce el valor 5 en la posici髇 8, Array = 5 - 7 - 7 - 8 - 10 - 8 - 5 - 5, Suma = 25
Hilo productor 1 introduce el valor 6 en la posici髇 9, Array = 5 - 7 - 7 - 8 - 10 - 8 - 5 - 5 - 6, Suma = 25
Hilo consumidor saca el valor 6 de la posici髇 9, Array = 5 - 7 - 7 - 8 - 10 - 8 - 5 - 5, Suma = 31
Hilo productor 2 introduce el valor 3 en la posici髇 9, Array = 5 - 7 - 7 - 8 - 10 - 8 - 5 - 5 - 3, Suma = 31
Hilo productor 1 introduce el valor 7 en la posici髇 10, Array = 5 - 7 - 7 - 8 - 10 - 8 - 5 - 5 - 3 - 7, Suma = 31
Hilo consumidor saca el valor 7 de la posici髇 10, Array = 5 - 7 - 7 - 8 - 10 - 8 - 5 - 5 - 3, Suma = 38
Hilo productor 2 introduce el valor 1 en la posici髇 10, Array = 5 - 7 - 7 - 8 - 10 - 8 - 5 - 5 - 3 - 1, Suma = 38
Hilo consumidor saca el valor 1 de la posici髇 10, Array = 5 - 7 - 7 - 8 - 10 - 8 - 5 - 5 - 3, Suma = 39
Hilo productor 1 introduce el valor 4 en la posici髇 10, Array = 5 - 7 - 7 - 8 - 10 - 8 - 5 - 5 - 3 - 4, Suma = 39
Hilo consumidor saca el valor 4 de la posici髇 10, Array = 5 - 7 - 7 - 8 - 10 - 8 - 5 - 5 - 3, Suma = 43
Hilo productor 2 introduce el valor 9 en la posici髇 10, Array = 5 - 7 - 7 - 8 - 10 - 8 - 5 - 5 - 3 - 9, Suma = 43
Hilo consumidor saca el valor 9 de la posici髇 10, Array = 5 - 7 - 7 - 8 - 10 - 8 - 5 - 5 - 3, Suma = 52
Hilo productor 1 introduce el valor 5 en la posici髇 10, Array = 5 - 7 - 7 - 8 - 10 - 8 - 5 - 5 - 3 - 5, Suma = 52
Hilo consumidor saca el valor 5 de la posici髇 10, Array = 5 - 7 - 7 - 8 - 10 - 8 - 5 - 5 - 3, Suma = 57
Hilo productor 2 introduce el valor 1 en la posici髇 10, Array = 5 - 7 - 7 - 8 - 10 - 8 - 5 - 5 - 3 - 1, Suma = 57
Hilo consumidor saca el valor 1 de la posici髇 10, Array = 5 - 7 - 7 - 8 - 10 - 8 - 5 - 5 - 3, Suma = 58
Hilo productor 1 introduce el valor 8 en la posici髇 10, Array = 5 - 7 - 7 - 8 - 10 - 8 - 5 - 5 - 3 - 8, Suma = 58
Hilo consumidor saca el valor 8 de la posici髇 10, Array = 5 - 7 - 7 - 8 - 10 - 8 - 5 - 5 - 3, Suma = 66
Hilo productor 2 introduce el valor 7 en la posici髇 10, Array = 5 - 7 - 7 - 8 - 10 - 8 - 5 - 5 - 3 - 7, Suma = 66
Hilo consumidor saca el valor 7 de la posici髇 10, Array = 5 - 7 - 7 - 8 - 10 - 8 - 5 - 5 - 3, Suma = 73
Hilo productor 1 introduce el valor 0 en la posici髇 10, Array = 5 - 7 - 7 - 8 - 10 - 8 - 5 - 5 - 3 - 0, Suma = 73
Hilo consumidor saca el valor 0 de la posici髇 10, Array = 5 - 7 - 7 - 8 - 10 - 8 - 5 - 5 - 3, Suma = 73
Hilo productor 2 introduce el valor 8 en la posici髇 10, Array = 5 - 7 - 7 - 8 - 10 - 8 - 5 - 5 - 3 - 8, Suma = 73
Hilo consumidor saca el valor 8 de la posici髇 10, Array = 5 - 7 - 7 - 8 - 10 - 8 - 5 - 5 - 3, Suma = 81
Hilo productor 1 introduce el valor 7 en la posici髇 10, Array = 5 - 7 - 7 - 8 - 10 - 8 - 5 - 5 - 3 - 7, Suma = 81
Hilo consumidor saca el valor 7 de la posici髇 10, Array = 5 - 7 - 7 - 8 - 10 - 8 - 5 - 5 - 3, Suma = 88
Hilo productor 2 introduce el valor 7 en la posici髇 10, Array = 5 - 7 - 7 - 8 - 10 - 8 - 5 - 5 - 3 - 7, Suma = 88
Hilo consumidor saca el valor 7 de la posici髇 10, Array = 5 - 7 - 7 - 8 - 10 - 8 - 5 - 5 - 3, Suma = 95
Hilo productor 1 introduce el valor 4 en la posici髇 10, Array = 5 - 7 - 7 - 8 - 10 - 8 - 5 - 5 - 3 - 4, Suma = 95
Hilo consumidor saca el valor 4 de la posici髇 10, Array = 5 - 7 - 7 - 8 - 10 - 8 - 5 - 5 - 3, Suma = 99
Hilo productor 2 introduce el valor 1 en la posici髇 10, Array = 5 - 7 - 7 - 8 - 10 - 8 - 5 - 5 - 3 - 1, Suma = 99
Hilo consumidor saca el valor 1 de la posici髇 10, Array = 5 - 7 - 7 - 8 - 10 - 8 - 5 - 5 - 3, Suma = 100
Suma m醲ima alcanzada: 100, Array = 5 - 7 - 7 - 8 - 10 - 8 - 5 - 5 - 3, Suma = 100
Hilo productor 1 introduce el valor 8 en la posici髇 1, Array = 8, Suma = 0
Hilo productor 2 introduce el valor 8 en la posici髇 2, Array = 8 - 8, Suma = 0
Hilo consumidor saca el valor 8 de la posici髇 2, Array = 8, Suma = 8
Hilo productor 1 introduce el valor 5 en la posici髇 2, Array = 8 - 5, Suma = 8
Hilo productor 2 introduce el valor 2 en la posici髇 3, Array = 8 - 5 - 2, Suma = 8
Hilo consumidor saca el valor 2 de la posici髇 3, Array = 8 - 5, Suma = 10
Hilo productor 2 introduce el valor 7 en la posici髇 3, Array = 8 - 5 - 7, Suma = 10
Hilo productor 1 introduce el valor 4 en la posici髇 4, Array = 8 - 5 - 7 - 4, Suma = 10
Hilo productor 2 introduce el valor 3 en la posici髇 5, Array = 8 - 5 - 7 - 4 - 3, Suma = 10
Hilo productor 1 introduce el valor 1 en la posici髇 6, Array = 8 - 5 - 7 - 4 - 3 - 1, Suma = 10
Hilo consumidor saca el valor 1 de la posici髇 6, Array = 8 - 5 - 7 - 4 - 3, Suma = 11
Hilo productor 1 introduce el valor 1 en la posici髇 6, Array = 8 - 5 - 7 - 4 - 3 - 1, Suma = 11
Hilo productor 2 introduce el valor 1 en la posici髇 7, Array = 8 - 5 - 7 - 4 - 3 - 1 - 1, Suma = 11
Hilo consumidor saca el valor 1 de la posici髇 7, Array = 8 - 5 - 7 - 4 - 3 - 1, Suma = 12
Hilo productor 2 introduce el valor 10 en la posici髇 7, Array = 8 - 5 - 7 - 4 - 3 - 1 - 10, Suma = 12
Hilo productor 1 introduce el valor 1 en la posici髇 8, Array = 8 - 5 - 7 - 4 - 3 - 1 - 10 - 1, Suma = 12
Hilo productor 1 introduce el valor 1 en la posici髇 9, Array = 8 - 5 - 7 - 4 - 3 - 1 - 10 - 1 - 1, Suma = 12
Hilo productor 2 introduce el valor 8 en la posici髇 10, Array = 8 - 5 - 7 - 4 - 3 - 1 - 10 - 1 - 1 - 8, Suma = 12
Hilo consumidor saca el valor 8 de la posici髇 10, Array = 8 - 5 - 7 - 4 - 3 - 1 - 10 - 1 - 1, Suma = 20
Hilo productor 1 introduce el valor 7 en la posici髇 10, Array = 8 - 5 - 7 - 4 - 3 - 1 - 10 - 1 - 1 - 7, Suma = 20
Hilo consumidor saca el valor 7 de la posici髇 10, Array = 8 - 5 - 7 - 4 - 3 - 1 - 10 - 1 - 1, Suma = 27
Hilo productor 2 introduce el valor 0 en la posici髇 10, Array = 8 - 5 - 7 - 4 - 3 - 1 - 10 - 1 - 1 - 0, Suma = 27
Hilo consumidor saca el valor 0 de la posici髇 10, Array = 8 - 5 - 7 - 4 - 3 - 1 - 10 - 1 - 1, Suma = 27
Hilo productor 1 introduce el valor 8 en la posici髇 10, Array = 8 - 5 - 7 - 4 - 3 - 1 - 10 - 1 - 1 - 8, Suma = 27
Hilo consumidor saca el valor 8 de la posici髇 10, Array = 8 - 5 - 7 - 4 - 3 - 1 - 10 - 1 - 1, Suma = 35
Hilo productor 2 introduce el valor 4 en la posici髇 10, Array = 8 - 5 - 7 - 4 - 3 - 1 - 10 - 1 - 1 - 4, Suma = 35
Hilo consumidor saca el valor 4 de la posici髇 10, Array = 8 - 5 - 7 - 4 - 3 - 1 - 10 - 1 - 1, Suma = 39
Hilo productor 1 introduce el valor 4 en la posici髇 10, Array = 8 - 5 - 7 - 4 - 3 - 1 - 10 - 1 - 1 - 4, Suma = 39
Hilo consumidor saca el valor 4 de la posici髇 10, Array = 8 - 5 - 7 - 4 - 3 - 1 - 10 - 1 - 1, Suma = 43
Hilo productor 2 introduce el valor 7 en la posici髇 10, Array = 8 - 5 - 7 - 4 - 3 - 1 - 10 - 1 - 1 - 7, Suma = 43
Hilo consumidor saca el valor 7 de la posici髇 10, Array = 8 - 5 - 7 - 4 - 3 - 1 - 10 - 1 - 1, Suma = 50
Hilo productor 1 introduce el valor 1 en la posici髇 10, Array = 8 - 5 - 7 - 4 - 3 - 1 - 10 - 1 - 1 - 1, Suma = 50
Hilo consumidor saca el valor 1 de la posici髇 10, Array = 8 - 5 - 7 - 4 - 3 - 1 - 10 - 1 - 1, Suma = 51
Hilo productor 2 introduce el valor 8 en la posici髇 10, Array = 8 - 5 - 7 - 4 - 3 - 1 - 10 - 1 - 1 - 8, Suma = 51
Hilo consumidor saca el valor 8 de la posici髇 10, Array = 8 - 5 - 7 - 4 - 3 - 1 - 10 - 1 - 1, Suma = 59
Hilo productor 1 introduce el valor 10 en la posici髇 10, Array = 8 - 5 - 7 - 4 - 3 - 1 - 10 - 1 - 1 - 10, Suma = 59
Hilo consumidor saca el valor 10 de la posici髇 10, Array = 8 - 5 - 7 - 4 - 3 - 1 - 10 - 1 - 1, Suma = 69
Hilo productor 2 introduce el valor 0 en la posici髇 10, Array = 8 - 5 - 7 - 4 - 3 - 1 - 10 - 1 - 1 - 0, Suma = 69
Hilo consumidor saca el valor 0 de la posici髇 10, Array = 8 - 5 - 7 - 4 - 3 - 1 - 10 - 1 - 1, Suma = 69
Hilo productor 1 introduce el valor 6 en la posici髇 10, Array = 8 - 5 - 7 - 4 - 3 - 1 - 10 - 1 - 1 - 6, Suma = 69
Hilo consumidor saca el valor 6 de la posici髇 10, Array = 8 - 5 - 7 - 4 - 3 - 1 - 10 - 1 - 1, Suma = 75
Hilo productor 2 introduce el valor 5 en la posici髇 10, Array = 8 - 5 - 7 - 4 - 3 - 1 - 10 - 1 - 1 - 5, Suma = 75
Hilo consumidor saca el valor 5 de la posici髇 10, Array = 8 - 5 - 7 - 4 - 3 - 1 - 10 - 1 - 1, Suma = 80
Hilo productor 1 introduce el valor 3 en la posici髇 10, Array = 8 - 5 - 7 - 4 - 3 - 1 - 10 - 1 - 1 - 3, Suma = 80
Hilo consumidor saca el valor 3 de la posici髇 10, Array = 8 - 5 - 7 - 4 - 3 - 1 - 10 - 1 - 1, Suma = 83
Hilo productor 2 introduce el valor 9 en la posici髇 10, Array = 8 - 5 - 7 - 4 - 3 - 1 - 10 - 1 - 1 - 9, Suma = 83
Hilo consumidor saca el valor 9 de la posici髇 10, Array = 8 - 5 - 7 - 4 - 3 - 1 - 10 - 1 - 1, Suma = 92
Hilo productor 1 introduce el valor 9 en la posici髇 10, Array = 8 - 5 - 7 - 4 - 3 - 1 - 10 - 1 - 1 - 9, Suma = 92
Hilo consumidor saca el valor 9 de la posici髇 10, Array = 8 - 5 - 7 - 4 - 3 - 1 - 10 - 1 - 1, Suma = 101
Suma m醲ima alcanzada: 101, Array = 8 - 5 - 7 - 4 - 3 - 1 - 10 - 1 - 1, Suma = 101
Hilo productor 2 introduce el valor 7 en la posici髇 10, Array = 8 - 5 - 7 - 4 - 3 - 1 - 10 - 1 - 1 - 7, Suma = 101
Hilo productor 1 introduce el valor 9 en la posici髇 1, Array = 9, Suma = 0
Hilo consumidor saca el valor 9 de la posici髇 1, Array = , Suma = 9
Hilo productor 2 introduce el valor 7 en la posici髇 1, Array = 7, Suma = 9
Hilo productor 1 introduce el valor 8 en la posici髇 2, Array = 7 - 8, Suma = 9
Hilo productor 2 introduce el valor 7 en la posici髇 3, Array = 7 - 8 - 7, Suma = 9
Hilo consumidor saca el valor 7 de la posici髇 3, Array = 7 - 8, Suma = 16
Hilo productor 1 introduce el valor 9 en la posici髇 3, Array = 7 - 8 - 9, Suma = 16
Hilo productor 2 introduce el valor 1 en la posici髇 4, Array = 7 - 8 - 9 - 1, Suma = 16
Hilo consumidor saca el valor 1 de la posici髇 4, Array = 7 - 8 - 9, Suma = 17
Hilo productor 1 introduce el valor 5 en la posici髇 4, Array = 7 - 8 - 9 - 5, Suma = 17
Hilo productor 2 introduce el valor 2 en la posici髇 5, Array = 7 - 8 - 9 - 5 - 2, Suma = 17
Hilo productor 1 introduce el valor 10 en la posici髇 6, Array = 7 - 8 - 9 - 5 - 2 - 10, Suma = 17
Hilo productor 2 introduce el valor 7 en la posici髇 7, Array = 7 - 8 - 9 - 5 - 2 - 10 - 7, Suma = 17
Hilo consumidor saca el valor 7 de la posici髇 7, Array = 7 - 8 - 9 - 5 - 2 - 10, Suma = 24
Hilo productor 1 introduce el valor 5 en la posici髇 7, Array = 7 - 8 - 9 - 5 - 2 - 10 - 5, Suma = 24
Hilo productor 2 introduce el valor 0 en la posici髇 8, Array = 7 - 8 - 9 - 5 - 2 - 10 - 5 - 0, Suma = 24
Hilo consumidor saca el valor 0 de la posici髇 8, Array = 7 - 8 - 9 - 5 - 2 - 10 - 5, Suma = 24
Hilo productor 1 introduce el valor 9 en la posici髇 8, Array = 7 - 8 - 9 - 5 - 2 - 10 - 5 - 9, Suma = 24
Hilo productor 2 introduce el valor 7 en la posici髇 9, Array = 7 - 8 - 9 - 5 - 2 - 10 - 5 - 9 - 7, Suma = 24
Hilo productor 1 introduce el valor 6 en la posici髇 10, Array = 7 - 8 - 9 - 5 - 2 - 10 - 5 - 9 - 7 - 6, Suma = 24
Hilo consumidor saca el valor 6 de la posici髇 10, Array = 7 - 8 - 9 - 5 - 2 - 10 - 5 - 9 - 7, Suma = 30
Hilo productor 2 introduce el valor 9 en la posici髇 10, Array = 7 - 8 - 9 - 5 - 2 - 10 - 5 - 9 - 7 - 9, Suma = 30
Hilo consumidor saca el valor 9 de la posici髇 10, Array = 7 - 8 - 9 - 5 - 2 - 10 - 5 - 9 - 7, Suma = 39
Hilo productor 1 introduce el valor 0 en la posici髇 10, Array = 7 - 8 - 9 - 5 - 2 - 10 - 5 - 9 - 7 - 0, Suma = 39
Hilo consumidor saca el valor 0 de la posici髇 10, Array = 7 - 8 - 9 - 5 - 2 - 10 - 5 - 9 - 7, Suma = 39
Hilo productor 2 introduce el valor 9 en la posici髇 10, Array = 7 - 8 - 9 - 5 - 2 - 10 - 5 - 9 - 7 - 9, Suma = 39
Hilo consumidor saca el valor 9 de la posici髇 10, Array = 7 - 8 - 9 - 5 - 2 - 10 - 5 - 9 - 7, Suma = 48
Hilo productor 1 introduce el valor 8 en la posici髇 10, Array = 7 - 8 - 9 - 5 - 2 - 10 - 5 - 9 - 7 - 8, Suma = 48
Hilo consumidor saca el valor 8 de la posici髇 10, Array = 7 - 8 - 9 - 5 - 2 - 10 - 5 - 9 - 7, Suma = 56
Hilo productor 2 introduce el valor 5 en la posici髇 10, Array = 7 - 8 - 9 - 5 - 2 - 10 - 5 - 9 - 7 - 5, Suma = 56
Hilo consumidor saca el valor 5 de la posici髇 10, Array = 7 - 8 - 9 - 5 - 2 - 10 - 5 - 9 - 7, Suma = 61
Hilo productor 1 introduce el valor 3 en la posici髇 10, Array = 7 - 8 - 9 - 5 - 2 - 10 - 5 - 9 - 7 - 3, Suma = 61
Hilo consumidor saca el valor 3 de la posici髇 10, Array = 7 - 8 - 9 - 5 - 2 - 10 - 5 - 9 - 7, Suma = 64
Hilo productor 2 introduce el valor 8 en la posici髇 10, Array = 7 - 8 - 9 - 5 - 2 - 10 - 5 - 9 - 7 - 8, Suma = 64
Hilo consumidor saca el valor 8 de la posici髇 10, Array = 7 - 8 - 9 - 5 - 2 - 10 - 5 - 9 - 7, Suma = 72
Hilo productor 1 introduce el valor 6 en la posici髇 10, Array = 7 - 8 - 9 - 5 - 2 - 10 - 5 - 9 - 7 - 6, Suma = 72
Hilo consumidor saca el valor 6 de la posici髇 10, Array = 7 - 8 - 9 - 5 - 2 - 10 - 5 - 9 - 7, Suma = 78
Hilo productor 2 introduce el valor 5 en la posici髇 10, Array = 7 - 8 - 9 - 5 - 2 - 10 - 5 - 9 - 7 - 5, Suma = 78
Hilo consumidor saca el valor 5 de la posici髇 10, Array = 7 - 8 - 9 - 5 - 2 - 10 - 5 - 9 - 7, Suma = 83
Hilo productor 1 introduce el valor 0 en la posici髇 10, Array = 7 - 8 - 9 - 5 - 2 - 10 - 5 - 9 - 7 - 0, Suma = 83
Hilo consumidor saca el valor 0 de la posici髇 10, Array = 7 - 8 - 9 - 5 - 2 - 10 - 5 - 9 - 7, Suma = 83
Hilo productor 2 introduce el valor 1 en la posici髇 10, Array = 7 - 8 - 9 - 5 - 2 - 10 - 5 - 9 - 7 - 1, Suma = 83
Hilo consumidor saca el valor 1 de la posici髇 10, Array = 7 - 8 - 9 - 5 - 2 - 10 - 5 - 9 - 7, Suma = 84
Hilo productor 1 introduce el valor 0 en la posici髇 10, Array = 7 - 8 - 9 - 5 - 2 - 10 - 5 - 9 - 7 - 0, Suma = 84
Hilo consumidor saca el valor 0 de la posici髇 10, Array = 7 - 8 - 9 - 5 - 2 - 10 - 5 - 9 - 7, Suma = 84
Hilo productor 2 introduce el valor 4 en la posici髇 10, Array = 7 - 8 - 9 - 5 - 2 - 10 - 5 - 9 - 7 - 4, Suma = 84
Hilo consumidor saca el valor 4 de la posici髇 10, Array = 7 - 8 - 9 - 5 - 2 - 10 - 5 - 9 - 7, Suma = 88
Hilo productor 1 introduce el valor 7 en la posici髇 10, Array = 7 - 8 - 9 - 5 - 2 - 10 - 5 - 9 - 7 - 7, Suma = 88
Hilo consumidor saca el valor 7 de la posici髇 10, Array = 7 - 8 - 9 - 5 - 2 - 10 - 5 - 9 - 7, Suma = 95
Hilo productor 2 introduce el valor 6 en la posici髇 10, Array = 7 - 8 - 9 - 5 - 2 - 10 - 5 - 9 - 7 - 6, Suma = 95
Hilo consumidor saca el valor 6 de la posici髇 10, Array = 7 - 8 - 9 - 5 - 2 - 10 - 5 - 9 - 7, Suma = 101
Suma m醲ima alcanzada: 101, Array = 7 - 8 - 9 - 5 - 2 - 10 - 5 - 9 - 7, Suma = 101
Hilo productor 1 introduce el valor 1 en la posici髇 10, Array = 7 - 8 - 9 - 5 - 2 - 10 - 5 - 9 - 7 - 1, Suma = 101
Hilo productor 1 introduce el valor 2 en la posici髇 1, Array = 2, Suma = 0
Hilo consumidor saca el valor 2 de la posici髇 1, Array = , Suma = 2
Hilo productor 2 introduce el valor 8 en la posici髇 1, Array = 8, Suma = 2
Hilo productor 1 introduce el valor 2 en la posici髇 2, Array = 8 - 2, Suma = 2
Hilo productor 2 introduce el valor 7 en la posici髇 3, Array = 8 - 2 - 7, Suma = 2
Hilo consumidor saca el valor 7 de la posici髇 3, Array = 8 - 2, Suma = 9
Hilo productor 1 introduce el valor 10 en la posici髇 3, Array = 8 - 2 - 10, Suma = 9
Hilo productor 2 introduce el valor 4 en la posici髇 4, Array = 8 - 2 - 10 - 4, Suma = 9
Hilo productor 2 introduce el valor 6 en la posici髇 5, Array = 8 - 2 - 10 - 4 - 6, Suma = 9
Hilo consumidor saca el valor 6 de la posici髇 5, Array = 8 - 2 - 10 - 4, Suma = 15
Hilo productor 1 introduce el valor 10 en la posici髇 5, Array = 8 - 2 - 10 - 4 - 10, Suma = 15
Hilo productor 2 introduce el valor 1 en la posici髇 6, Array = 8 - 2 - 10 - 4 - 10 - 1, Suma = 15
Hilo productor 1 introduce el valor 5 en la posici髇 7, Array = 8 - 2 - 10 - 4 - 10 - 1 - 5, Suma = 15
Hilo consumidor saca el valor 5 de la posici髇 7, Array = 8 - 2 - 10 - 4 - 10 - 1, Suma = 20
Hilo productor 2 introduce el valor 9 en la posici髇 7, Array = 8 - 2 - 10 - 4 - 10 - 1 - 9, Suma = 20
Hilo productor 1 introduce el valor 1 en la posici髇 8, Array = 8 - 2 - 10 - 4 - 10 - 1 - 9 - 1, Suma = 20
